A,B,C,E,F,n_blocks,first_D,last_D,example_path
,Detroit-Dam L&O,Flow-SETTING,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Dam L&O/Flow-SETTING/01Jan2012/1Day/Temp1Day--0/
,Detroit-Dam L&O,RULEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Dam L&O/RULEID/01Jan2012/1Day/Temp1Day--0/
,Detroit-Dam L&O,ZONEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Dam L&O/ZONEID/01Jan2012/1Day/Temp1Day--0/
,Detroit-Dam L&O IN,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Dam L&O IN/Flow/01Jan2012/1Day/Temp1Day--0/
,Detroit-Dam Tailwater,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Dam Tailwater/Flow/01Jan2012/1Day/Temp1Day--0/
,Detroit-Dam Tailwater,Flow-CUMLOC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Dam Tailwater/Flow-CUMLOC/01Jan2012/1Day/Temp1Day--0/
,Detroit-Dam Tailwater,Flow-IN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Dam Tailwater/Flow-IN/01Jan2012/1Day/Temp1Day--0/
,Detroit-Dam Tailwater,Flow-ROUTING-Detroit-1,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Dam Tailwater/Flow-ROUTING-Detroit-1/01Jan2012/1Day/Temp1Day--0/
,Detroit-Dam Tailwater,Flow-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Dam Tailwater/Flow-UNREG/01Jan2012/1Day/Temp1Day--0/
,Detroit-Dam-Max Evacuation Release,Flow-MAX,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Dam-Max Evacuation Release/Flow-MAX/01Jan2012/1Day/Temp1Day--0/
,Detroit-Dam-Max Evacuation Release-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Dam-Max Evacuation Release-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Detroit-Deep Drawdown,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Deep Drawdown/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Detroit-Deep Drawdown-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Deep Drawdown-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Detroit-Detroit-Inactive-ZBOp Rule,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Detroit-Inactive-ZBOp Rule/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Detroit-Detroit-Inactive-ZBOp Rule-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Detroit-Inactive-ZBOp Rule-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Detroit-Detroit-Rule Curve-ZBOp Rule,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Detroit-Rule Curve-ZBOp Rule/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Detroit-Detroit-Rule Curve-ZBOp Rule-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Detroit-Rule Curve-ZBOp Rule-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Detroit-Detroit-Top of Dam-ZBOp Rule,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Detroit-Top of Dam-ZBOp Rule/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Detroit-Detroit-Top of Dam-ZBOp Rule-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Detroit-Top of Dam-ZBOp Rule-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Detroit-Draft to RC,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Draft to RC/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Detroit-Draft to RC-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Draft to RC-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Detroit-FIRO_SPACE,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-FIRO_SPACE/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Detroit-FIRO_SPACE-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-FIRO_SPACE-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Detroit-IRRM,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-IRRM/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Detroit-IRRM-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-IRRM-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Detroit-Inactive,Elev-ZONE,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Inactive/Elev-ZONE/01Jan2012/1Day/Temp1Day--0/
,Detroit-Inactive,Stor-ZONE,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Inactive/Stor-ZONE/01Jan2012/1Day/Temp1Day--0/
,Detroit-Jefferson Winter Ops Max,Coeff-ROUTE-LAG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Jefferson Winter Ops Max/Coeff-ROUTE-LAG/01Jan2012/1Day/Temp1Day--0/
,Detroit-Jefferson Winter Ops Max,Coeff-ROUTE-MAXOFFSET,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Jefferson Winter Ops Max/Coeff-ROUTE-MAXOFFSET/01Jan2012/1Day/Temp1Day--0/
,Detroit-Jefferson Winter Ops Max,Coeff-ROUTE-MINOFFSET,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Jefferson Winter Ops Max/Coeff-ROUTE-MINOFFSET/01Jan2012/1Day/Temp1Day--0/
,Detroit-Jefferson Winter Ops Max,Flow-MAX,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Jefferson Winter Ops Max/Flow-MAX/01Jan2012/1Day/Temp1Day--0/
,Detroit-Jefferson Winter Ops Max,Stor-BAL,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Jefferson Winter Ops Max/Stor-BAL/01Jan2012/1Day/Temp1Day--0/
,Detroit-Jefferson Winter Ops Max-Final,Coeff-BAL-INDEX,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Jefferson Winter Ops Max-Final/Coeff-BAL-INDEX/01Jan2012/1Day/Temp1Day--0/
,Detroit-Jefferson Winter Ops Max-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Jefferson Winter Ops Max-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Detroit-MainstemFlowAug,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-MainstemFlowAug/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Detroit-MainstemFlowAug-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-MainstemFlowAug-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Detroit-Mehama Winter Ops Max,Coeff-ROUTE-LAG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Mehama Winter Ops Max/Coeff-ROUTE-LAG/01Jan2012/1Day/Temp1Day--0/
,Detroit-Mehama Winter Ops Max,Coeff-ROUTE-MAXOFFSET,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Mehama Winter Ops Max/Coeff-ROUTE-MAXOFFSET/01Jan2012/1Day/Temp1Day--0/
,Detroit-Mehama Winter Ops Max,Coeff-ROUTE-MINOFFSET,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Mehama Winter Ops Max/Coeff-ROUTE-MINOFFSET/01Jan2012/1Day/Temp1Day--0/
,Detroit-Mehama Winter Ops Max,Flow-MAX,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Mehama Winter Ops Max/Flow-MAX/01Jan2012/1Day/Temp1Day--0/
,Detroit-Mehama Winter Ops Max,Stor-BAL,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Mehama Winter Ops Max/Stor-BAL/01Jan2012/1Day/Temp1Day--0/
,Detroit-Mehama Winter Ops Max-Final,Coeff-BAL-INDEX,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Mehama Winter Ops Max-Final/Coeff-BAL-INDEX/01Jan2012/1Day/Temp1Day--0/
,Detroit-Mehama Winter Ops Max-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Mehama Winter Ops Max-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Detroit-Min for BCL,Flow-MIN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Min for BCL/Flow-MIN/01Jan2012/1Day/Temp1Day--0/
,Detroit-Min for BCL-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Min for BCL-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Detroit-No Draft,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-No Draft/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Detroit-No Draft-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-No Draft-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Detroit-Pool,Area-Reservoir,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Pool/Area-Reservoir/01Jan2012/1Day/Temp1Day--0/
,Detroit-Pool,Elev,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Pool/Elev/01Jan2012/1Day/Temp1Day--0/
,Detroit-Pool,Elev-EST,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Pool/Elev-EST/01Jan2012/1Day/Temp1Day--0/
,Detroit-Pool,Flow-EST,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Pool/Flow-EST/01Jan2012/1Day/Temp1Day--0/
,Detroit-Pool,Flow-HOLDOUT,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Pool/Flow-HOLDOUT/01Jan2012/1Day/Temp1Day--0/
,Detroit-Pool,Flow-IN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Pool/Flow-IN/01Jan2012/1Day/Temp1Day--0/
,Detroit-Pool,Flow-IN NET,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Pool/Flow-IN NET/01Jan2012/1Day/Temp1Day--0/
,Detroit-Pool,Flow-OUT,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Pool/Flow-OUT/01Jan2012/1Day/Temp1Day--0/
,Detroit-Pool,Flow-Q2S,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Pool/Flow-Q2S/01Jan2012/1Day/Temp1Day--0/
,Detroit-Pool,Stor,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Pool/Stor/01Jan2012/1Day/Temp1Day--0/
,Detroit-Pool,Stor-PUMP,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Pool/Stor-PUMP/01Jan2012/1Day/Temp1Day--0/
,Detroit-Pool,Stor-PUMP-CAP,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Pool/Stor-PUMP-CAP/01Jan2012/1Day/Temp1Day--0/
,Detroit-Power Plant,CONSTRAINTID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Power Plant/CONSTRAINTID/01Jan2012/1Day/Temp1Day--0/
,Detroit-Power Plant,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Power Plant/Flow/01Jan2012/1Day/Temp1Day--0/
,Detroit-Power Plant,Flow-DECISION,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Power Plant/Flow-DECISION/01Jan2012/1Day/Temp1Day--0/
,Detroit-Power Plant,Flow-MAXLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Power Plant/Flow-MAXLIM/01Jan2012/1Day/Temp1Day--0/
,Detroit-Power Plant,Flow-MINLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Power Plant/Flow-MINLIM/01Jan2012/1Day/Temp1Day--0/
,Detroit-Power Plant,Flow-SETTING,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Power Plant/Flow-SETTING/01Jan2012/1Day/Temp1Day--0/
,Detroit-Power Plant,RULEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Power Plant/RULEID/01Jan2012/1Day/Temp1Day--0/
,Detroit-Power Plant,ZONEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Power Plant/ZONEID/01Jan2012/1Day/Temp1Day--0/
,Detroit-Power Plant IN,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Power Plant IN/Flow/01Jan2012/1Day/Temp1Day--0/
,Detroit-Regulating Outlet Lower,CONSTRAINTID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Regulating Outlet Lower/CONSTRAINTID/01Jan2012/1Day/Temp1Day--0/
,Detroit-Regulating Outlet Lower,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Regulating Outlet Lower/Flow/01Jan2012/1Day/Temp1Day--0/
,Detroit-Regulating Outlet Lower,Flow-DECISION,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Regulating Outlet Lower/Flow-DECISION/01Jan2012/1Day/Temp1Day--0/
,Detroit-Regulating Outlet Lower,Flow-MAXLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Regulating Outlet Lower/Flow-MAXLIM/01Jan2012/1Day/Temp1Day--0/
,Detroit-Regulating Outlet Lower,Flow-MINLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Regulating Outlet Lower/Flow-MINLIM/01Jan2012/1Day/Temp1Day--0/
,Detroit-Regulating Outlet Lower,Flow-SETTING,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Regulating Outlet Lower/Flow-SETTING/01Jan2012/1Day/Temp1Day--0/
,Detroit-Regulating Outlet Lower,RULEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Regulating Outlet Lower/RULEID/01Jan2012/1Day/Temp1Day--0/
,Detroit-Regulating Outlet Lower,ZONEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Regulating Outlet Lower/ZONEID/01Jan2012/1Day/Temp1Day--0/
,Detroit-Regulating Outlet Lower IN,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Regulating Outlet Lower IN/Flow/01Jan2012/1Day/Temp1Day--0/
,Detroit-Regulating Outlet Lower-No Lower RO Flow,Flow-MAX,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Regulating Outlet Lower-No Lower RO Flow/Flow-MAX/01Jan2012/1Day/Temp1Day--0/
,Detroit-Regulating Outlet Lower-No Lower RO Flow-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Regulating Outlet Lower-No Lower RO Flow-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Detroit-Regulating Outlet Upper,CONSTRAINTID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Regulating Outlet Upper/CONSTRAINTID/01Jan2012/1Day/Temp1Day--0/
,Detroit-Regulating Outlet Upper,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Regulating Outlet Upper/Flow/01Jan2012/1Day/Temp1Day--0/
,Detroit-Regulating Outlet Upper,Flow-DECISION,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Regulating Outlet Upper/Flow-DECISION/01Jan2012/1Day/Temp1Day--0/
,Detroit-Regulating Outlet Upper,Flow-MAXLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Regulating Outlet Upper/Flow-MAXLIM/01Jan2012/1Day/Temp1Day--0/
,Detroit-Regulating Outlet Upper,Flow-MINLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Regulating Outlet Upper/Flow-MINLIM/01Jan2012/1Day/Temp1Day--0/
,Detroit-Regulating Outlet Upper,Flow-SETTING,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Regulating Outlet Upper/Flow-SETTING/01Jan2012/1Day/Temp1Day--0/
,Detroit-Regulating Outlet Upper,RULEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Regulating Outlet Upper/RULEID/01Jan2012/1Day/Temp1Day--0/
,Detroit-Regulating Outlet Upper,ZONEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Regulating Outlet Upper/ZONEID/01Jan2012/1Day/Temp1Day--0/
,Detroit-Regulating Outlet Upper IN,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Regulating Outlet Upper IN/Flow/01Jan2012/1Day/Temp1Day--0/
,Detroit-Regulating Outlet Upper-Upper RO use 1400 to 1542 ft,Flow-MAX,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Regulating Outlet Upper-Upper RO use 1400 to 1542 ft/Flow-MAX/01Jan2012/1Day/Temp1Day--0/
,Detroit-Regulating Outlet Upper-Upper RO use 1400 to 1542 ft-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Regulating Outlet Upper-Upper RO use 1400 to 1542 ft-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Detroit-Rule Curve,Elev-ZONE,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Rule Curve/Elev-ZONE/01Jan2012/1Day/Temp1Day--0/
,Detroit-Rule Curve,Stor-ZONE,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Rule Curve/Stor-ZONE/01Jan2012/1Day/Temp1Day--0/
,Detroit-Secondary Flood Draft Limit,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Secondary Flood Draft Limit/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Detroit-Secondary Flood Draft Limit-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Secondary Flood Draft Limit-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Detroit-Special Curves,Elev,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Special Curves/Elev/01Jan2012/1Day/Temp1Day--0/
,Detroit-Special Curves,Flow-IN NET,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Special Curves/Flow-IN NET/01Jan2012/1Day/Temp1Day--0/
,Detroit-Special Curves,Flow-MIN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Special Curves/Flow-MIN/01Jan2012/1Day/Temp1Day--0/
,Detroit-Special Curves-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Special Curves-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Detroit-Spillway,CONSTRAINTID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Spillway/CONSTRAINTID/01Jan2012/1Day/Temp1Day--0/
,Detroit-Spillway,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Spillway/Flow/01Jan2012/1Day/Temp1Day--0/
,Detroit-Spillway,Flow-DECISION,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Spillway/Flow-DECISION/01Jan2012/1Day/Temp1Day--0/
,Detroit-Spillway,Flow-MAXLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Spillway/Flow-MAXLIM/01Jan2012/1Day/Temp1Day--0/
,Detroit-Spillway,Flow-MINLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Spillway/Flow-MINLIM/01Jan2012/1Day/Temp1Day--0/
,Detroit-Spillway,Flow-SETTING,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Spillway/Flow-SETTING/01Jan2012/1Day/Temp1Day--0/
,Detroit-Spillway,RULEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Spillway/RULEID/01Jan2012/1Day/Temp1Day--0/
,Detroit-Spillway,ZONEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Spillway/ZONEID/01Jan2012/1Day/Temp1Day--0/
,Detroit-Spillway IN,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Spillway IN/Flow/01Jan2012/1Day/Temp1Day--0/
,Detroit-Top of Dam,Elev-ZONE,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Top of Dam/Elev-ZONE/01Jan2012/1Day/Temp1Day--0/
,Detroit-Top of Dam,Stor-ZONE,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit-Top of Dam/Stor-ZONE/01Jan2012/1Day/Temp1Day--0/
,Detroit_IN,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit_IN/Flow/01Jan2012/1Day/Temp1Day--0/
,Detroit_IN,Flow-CUMLOC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit_IN/Flow-CUMLOC/01Jan2012/1Day/Temp1Day--0/
,Detroit_IN,Flow-IN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit_IN/Flow-IN/01Jan2012/1Day/Temp1Day--0/
,Detroit_IN,Flow-IN-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit_IN/Flow-IN-UNREG/01Jan2012/1Day/Temp1Day--0/
,Detroit_IN,Flow-Local,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit_IN/Flow-Local/01Jan2012/1Day/Temp1Day--0/
,Detroit_IN,Flow-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit_IN/Flow-UNREG/01Jan2012/1Day/Temp1Day--0/
,Detroit_IN Detroit Inflow,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit_IN Detroit Inflow/Flow/01Jan2012/1Day/Temp1Day--0/
,Detroit_IN Detroit Inflow,Flow-CUMLOC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit_IN Detroit Inflow/Flow-CUMLOC/01Jan2012/1Day/Temp1Day--0/
,Detroit_IN Detroit Inflow,Flow-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit_IN Detroit Inflow/Flow-UNREG/01Jan2012/1Day/Temp1Day--0/
,Detroit_OUT,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit_OUT/Flow/01Jan2012/1Day/Temp1Day--0/
,Detroit_OUT,Flow-CUMLOC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit_OUT/Flow-CUMLOC/01Jan2012/1Day/Temp1Day--0/
,Detroit_OUT,Flow-IN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit_OUT/Flow-IN/01Jan2012/1Day/Temp1Day--0/
,Detroit_OUT,Flow-IN-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit_OUT/Flow-IN-UNREG/01Jan2012/1Day/Temp1Day--0/
,Detroit_OUT,Flow-ROUTING-Detroit-1,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit_OUT/Flow-ROUTING-Detroit-1/01Jan2012/1Day/Temp1Day--0/
,Detroit_OUT,Flow-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit_OUT/Flow-UNREG/01Jan2012/1Day/Temp1Day--0/
,Detroit_OUT to Big Cliff_IN,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit_OUT to Big Cliff_IN/Flow/01Jan2012/1Day/Temp1Day--0/
,Detroit_OUT to Big Cliff_IN,Flow-CUMLOC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit_OUT to Big Cliff_IN/Flow-CUMLOC/01Jan2012/1Day/Temp1Day--0/
,Detroit_OUT to Big Cliff_IN,Flow-ROUTING-Detroit-1,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit_OUT to Big Cliff_IN/Flow-ROUTING-Detroit-1/01Jan2012/1Day/Temp1Day--0/
,Detroit_OUT to Big Cliff_IN,Flow-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Detroit_OUT to Big Cliff_IN/Flow-UNREG/01Jan2012/1Day/Temp1Day--0/
,Dexter,CONSTRAINTID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Dexter/CONSTRAINTID/01Jan2012/1Day/Temp1Day--0/
,Dexter,Flow-DECISION,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Dexter/Flow-DECISION/01Jan2012/1Day/Temp1Day--0/
,Dexter,Flow-GC-RELEASE,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Dexter/Flow-GC-RELEASE/01Jan2012/1Day/Temp1Day--0/
,Dexter,Flow-IN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Dexter/Flow-IN/01Jan2012/1Day/Temp1Day--0/
,Dexter,Flow-MAXLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Dexter/Flow-MAXLIM/01Jan2012/1Day/Temp1Day--0/
,Dexter,Flow-MINLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Dexter/Flow-MINLIM/01Jan2012/1Day/Temp1Day--0/
,Dexter,RULEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Dexter/RULEID/01Jan2012/1Day/Temp1Day--0/
,Dexter,ZONEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Dexter/ZONEID/01Jan2012/1Day/Temp1Day--0/
,Dexter-Dam,CONSTRAINTID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Dexter-Dam/CONSTRAINTID/01Jan2012/1Day/Temp1Day--0/
,Dexter-Dam,Flow-DECISION,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Dexter-Dam/Flow-DECISION/01Jan2012/1Day/Temp1Day--0/
,Dexter-Dam,Flow-MAXLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Dexter-Dam/Flow-MAXLIM/01Jan2012/1Day/Temp1Day--0/
,Dexter-Dam,Flow-MINLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Dexter-Dam/Flow-MINLIM/01Jan2012/1Day/Temp1Day--0/
,Dexter-Dam,RULEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Dexter-Dam/RULEID/01Jan2012/1Day/Temp1Day--0/
